pmid,student_model,judge_model,faithfulness_score,correctness_score,rougeL_f1_baseline
25957366,gpt4o,gpt-4o,1.0,0.4863002252979399,0.10614525139664804
25957366,claude,gpt-4o,0.9333333333333332,0.5032989732243025,0.10396039603960396
25957366,gemini,gpt-4o,0.8,0.680949960885634,0.11602209944751382
25957366,llama,gpt-4o,0.75,0.4862029316974174,0.1375
25957366,gemma,gpt-4o,1.0,0.7442016288299123,0.13284132841328414
11838307,gpt4o,gpt-4o,1.0,0.6033097096599784,0.05263157894736842
11838307,claude,gpt-4o,0.8888888888888888,0.8298025925341529,0.0901639344262295
11838307,gemini,gpt-4o,0.8,0.5720589962992754,0.08791208791208792
11838307,llama,gpt-4o,0.875,0.4937184019568778,0.06896551724137931
11838307,gemma,gpt-4o,0.8571428571428571,0.6025595009927834,0.11764705882352942
22513023,gpt4o,gpt-4o,1.0,0.449225517879597,0.12432432432432433
22513023,claude,gpt-4o,0.7777777777777778,0.6166606100971215,0.13293051359516614
22513023,gemini,gpt-4o,1.0,0.6143691743824469,0.13372093023255813
22513023,llama,gpt-4o,0.7777777777777778,0.6265334616047173,0.15757575757575756
22513023,gemma,gpt-4o,1.0,0.5813994421517876,0.16597510373443983
14713788,gpt4o,gpt-4o,1.0,0.6085204874125772,0.09374999999999999
14713788,claude,gpt-4o,1.0,0.5285911485828045,0.10847457627118644
14713788,gemini,gpt-4o,1.0,0.6588680283675263,0.10606060606060606
14713788,llama,gpt-4o,1.0,0.6362284864958877,0.09923664122137404
14713788,gemma,gpt-4o,1.0,0.6269775094900079,0.17297297297297298
10158597,gpt4o,gpt-4o,1.0,0.3361416035086206,0.0830188679245283
10158597,claude,gpt-4o,1.0,0.4040616222850278,0.0723684210526316
10158597,gemini,gpt-4o,0.875,0.5233482918586795,0.12631578947368421
10158597,llama,gpt-4o,1.0,0.4896133583007471,0.0898876404494382
10158597,gemma,gpt-4o,0.8888888888888888,0.5618633604426455,0.13043478260869565
25588461,gpt4o,gpt-4o,1.0,0.5562761911461298,0.0975609756097561
25588461,claude,gpt-4o,1.0,0.7843365846439743,0.07017543859649122
25588461,gemini,gpt-4o,1.0,0.304849887003442,0.07627118644067796
25588461,llama,gpt-4o,0.7777777777777778,0.5721007312335216,0.07482993197278912
25588461,gemma,gpt-4o,0.8888888888888888,0.5813218028474498,0.08737864077669902
27581329,gpt4o,gpt-4o,1.0,0.3806816079136883,0.11971830985915492
27581329,claude,gpt-4o,0.7857142857142857,0.8244098381821109,0.07339449541284404
27581329,gemini,gpt-4o,1.0,0.3277414500491622,0.09523809523809523
27581329,llama,gpt-4o,1.0,0.4237551027357099,0.09359605911330049
27581329,gemma,gpt-4o,0.8181818181818182,0.4375605983836068,0.1094890510948905
21889895,gpt4o,gpt-4o,1.0,0.456987075106641,0.10714285714285714
21889895,claude,gpt-4o,1.0,0.585654254520473,0.1005586592178771
21889895,gemini,gpt-4o,1.0,0.3108753288502044,0.13821138211382114
21889895,llama,gpt-4o,0.7142857142857143,0.3313304023726088,0.11396011396011398
21889895,gemma,gpt-4o,0.9,0.3771445361301936,0.10038610038610038
23587089,gpt4o,gpt-4o,1.0,0.7492874014499938,0.199288256227758
23587089,claude,gpt-4o,1.0,0.6633420482923666,0.14838709677419354
23587089,gemini,gpt-4o,1.0,0.7652170416235531,0.12095032397408208
23587089,llama,gpt-4o,0.9230769230769232,0.7850975675655869,0.13934426229508198
23587089,gemma,gpt-4o,0.8888888888888888,0.6232738329172388,0.19246861924686195
8375607,gpt4o,gpt-4o,1.0,0.7459595014007201,0.21305841924398625
8375607,claude,gpt-4o,1.0,0.7899018380025279,0.19636363636363638
8375607,gemini,gpt-4o,1.0,0.7400726376979236,0.25925925925925924
8375607,llama,gpt-4o,1.0,0.7563120120817455,0.1935483870967742
8375607,gemma,gpt-4o,1.0,0.731695959101731,0.2647058823529412
25228241,gpt4o,gpt-4o,1.0,0.7531847890386854,0.18473895582329317
25228241,claude,gpt-4o,1.0,0.6297708629482672,0.10439560439560439
25228241,gemini,gpt-4o,1.0,0.6968656593725342,0.13440860215053765
25228241,llama,gpt-4o,1.0,0.6662829656697205,0.17006802721088438
25228241,gemma,gpt-4o,0.8333333333333334,0.6751191767257583,0.15841584158415842
15050326,gpt4o,gpt-4o,0.9,0.5632735777915567,0.1643835616438356
15050326,claude,gpt-4o,0.9166666666666666,0.7239849843912735,0.13793103448275862
15050326,gemini,gpt-4o,0.9,0.6995744772650683,0.1764705882352941
15050326,llama,gpt-4o,0.8181818181818182,0.5610557466728698,0.1280353200883002
15050326,gemma,gpt-4o,1.0,0.5873190399396424,0.17605633802816903
25417760,gpt4o,gpt-4o,1.0,0.6176505847611335,0.12669683257918551
25417760,claude,gpt-4o,1.0,0.7613914514918503,0.10389610389610389
25417760,gemini,gpt-4o,1.0,0.7098522746402944,0.10434782608695652
25417760,llama,gpt-4o,0.875,0.510622285536811,0.08899297423887587
25417760,gemma,gpt-4o,0.375,0.3905057452538847,0.12048192771084337
18251357,gpt4o,gpt-4o,1.0,0.49397763621842,0.09322033898305083
18251357,claude,gpt-4o,1.0,0.5139521326782321,0.06741573033707865
18251357,gemini,gpt-4o,1.0,0.667489689635625,0.10989010989010989
18251357,llama,gpt-4o,0.875,0.6390194166540274,0.08256880733944955
18251357,gemma,gpt-4o,1.0,0.5225003824163151,0.10843373493975905
17032327,gpt4o,gpt-4o,1.0,0.8802009636299999,0.13675213675213677
17032327,claude,gpt-4o,0.9,0.8017464456285504,0.05755395683453237
17032327,gemini,gpt-4o,1.0,0.7910539777136261,0.10666666666666665
17032327,llama,gpt-4o,1.0,0.8244762627797642,0.1212121212121212
17032327,gemma,gpt-4o,1.0,0.8215666213783216,0.11607142857142859
17483607,gpt4o,gpt-4o,0.875,0.5849695700796189,0.13333333333333336
17483607,claude,gpt-4o,1.0,0.4803255189131141,0.08955223880597014
17483607,gemini,gpt-4o,0.8571428571428571,0.3895546629100291,0.09677419354838711
17483607,llama,gpt-4o,0.8181818181818182,0.533524979703816,0.09885931558935361
17483607,gemma,gpt-4o,0.8,0.5321345261794673,0.12571428571428572
22154448,gpt4o,gpt-4o,1.0,0.8069981179996242,0.141643059490085
22154448,claude,gpt-4o,1.0,0.7774594299289301,0.11167512690355329
22154448,gemini,gpt-4o,1.0,0.7893694317200107,0.143236074270557
22154448,llama,gpt-4o,0.9166666666666666,0.7085170084766517,0.20066889632107024
22154448,gemma,gpt-4o,0.8888888888888888,0.7522087465818839,0.19811320754716982
19268855,gpt4o,gpt-4o,0.9166666666666666,0.3401169676582425,0.060606060606060615
19268855,claude,gpt-4o,0.8571428571428571,0.7695746469482907,0.05660377358490566
19268855,gemini,gpt-4o,0.9166666666666666,0.7237094501778177,0.06249999999999999
19268855,llama,gpt-4o,1.0,0.2919635718682442,0.0617283950617284
19268855,gemma,gpt-4o,0.8333333333333334,0.6838074065150892,0.06734006734006732
25186850,gpt4o,gpt-4o,0.8571428571428571,0.3896451874130057,0.05980066445182725
25186850,claude,gpt-4o,0.9333333333333332,0.6339891488092007,0.06666666666666667
25186850,gemini,gpt-4o,0.875,0.4277012915835619,0.0625
25186850,llama,gpt-4o,0.9090909090909092,0.4550976883074542,0.06790123456790123
25186850,gemma,gpt-4o,0.875,0.4371554414388231,0.10731707317073172
24237112,gpt4o,gpt-4o,0.8571428571428571,0.7951294210901265,0.14953271028037382
24237112,claude,gpt-4o,0.8666666666666667,0.8166183558816235,0.12286689419795223
24237112,gemini,gpt-4o,1.0,0.7570914441292077,0.14400000000000002
24237112,llama,gpt-4o,1.0,0.7598642553922951,0.15916955017301038
24237112,gemma,gpt-4o,1.0,0.8242531473721341,0.1702127659574468
9044116,gpt4o,gpt-4o,0.9,0.6787805996222592,0.10408921933085502
9044116,claude,gpt-4o,1.0,0.7650714353245007,0.1111111111111111
9044116,gemini,gpt-4o,1.0,0.7072370164436659,0.09375
9044116,llama,gpt-4o,1.0,0.5927738090728285,0.09523809523809525
9044116,gemma,gpt-4o,0.8,0.6818562257670582,0.09216589861751152
18496363,gpt4o,gpt-4o,1.0,0.6712030439078506,0.15479876160990713
18496363,claude,gpt-4o,1.0,0.8943056595881602,0.16167664670658682
18496363,gemini,gpt-4o,1.0,0.8815917523285002,0.16167664670658682
18496363,llama,gpt-4o,1.0,0.277200046195189,0.12307692307692307
18496363,gemma,gpt-4o,1.0,0.5441851449614746,0.2047244094488189
18603989,gpt4o,gpt-4o,1.0,0.4248589311118365,0.07317073170731707
18603989,claude,gpt-4o,0.8571428571428571,0.4601263701717772,0.046511627906976744
18603989,gemini,gpt-4o,1.0,0.5769823094536489,0.08450704225352113
18603989,llama,gpt-4o,1.0,0.4040276588088473,0.05555555555555556
18603989,gemma,gpt-4o,1.0,0.3565982753508958,0.056818181818181816
10411439,gpt4o,gpt-4o,1.0,0.8239495481296935,0.17464788732394365
10411439,claude,gpt-4o,1.0,0.8820049831024048,0.1643059490084986
10411439,gemini,gpt-4o,1.0,0.8839624731297595,0.14457831325301207
10411439,llama,gpt-4o,1.0,0.8154689083813798,0.17534246575342463
10411439,gemma,gpt-4o,1.0,0.4358635094045232,0.22680412371134023
18534072,gpt4o,gpt-4o,1.0,0.7275914724999849,0.1461794019933555
18534072,claude,gpt-4o,0.8181818181818182,0.7358851621145419,0.11494252873563218
18534072,gemini,gpt-4o,1.0,0.6858744652743153,0.17959183673469387
18534072,llama,gpt-4o,1.0,0.8065688563712279,0.13105413105413105
18534072,gemma,gpt-4o,1.0,0.7247814806276119,0.15789473684210525
9427037,gpt4o,gpt-4o,0.8888888888888888,0.3517326594251057,0.07518796992481204
9427037,claude,gpt-4o,0.9166666666666666,0.447684520489379,0.07913669064748201
9427037,gemini,gpt-4o,1.0,0.349200832859747,0.06870229007633588
9427037,llama,gpt-4o,1.0,0.3557138897663459,0.061111111111111116
9427037,gemma,gpt-4o,0.8571428571428571,0.4758744975496918,0.10062893081761005
21342862,gpt4o,gpt-4o,1.0,0.5260808094682529,0.15972222222222224
21342862,claude,gpt-4o,1.0,0.5400984340932183,0.15946843853820597
21342862,gemini,gpt-4o,1.0,0.6981139656493915,0.19491525423728814
21342862,llama,gpt-4o,1.0,0.7733798781563748,0.1256544502617801
21342862,gemma,gpt-4o,1.0,0.3525203758942308,0.16666666666666666
27096199,gpt4o,gpt-4o,1.0,0.9019288273390051,0.15833333333333333
27096199,claude,gpt-4o,1.0,0.8705785015459956,0.14634146341463417
27096199,gemini,gpt-4o,0.875,0.8847029654583498,0.17670682730923695
27096199,llama,gpt-4o,1.0,0.6596752395073111,0.13385826771653545
27096199,gemma,gpt-4o,0.7777777777777778,0.876065064725144,0.175609756097561
19923859,gpt4o,gpt-4o,0.9,0.4225818849760592,0.06984126984126984
19923859,claude,gpt-4o,1.0,0.6311017008151814,0.06369426751592357
19923859,gemini,gpt-4o,0.8571428571428571,0.796832010104464,0.10280373831775702
19923859,llama,gpt-4o,0.9090909090909092,0.4546034387940893,0.08637873754152825
19923859,gemma,gpt-4o,0.7777777777777778,0.71757123026406,0.10404624277456646
20842006,gpt4o,gpt-4o,1.0,0.8564525850405987,0.1310043668122271
20842006,claude,gpt-4o,1.0,0.8791978336658657,0.10810810810810811
20842006,gemini,gpt-4o,1.0,0.8816404972595235,0.14218009478672985
20842006,llama,gpt-4o,1.0,0.8225846160281552,0.13438735177865613
20842006,gemma,gpt-4o,1.0,0.8775331721448486,0.15238095238095237
17096624,gpt4o,gpt-4o,0.8181818181818182,0.25411541905446,0.03125
17096624,claude,gpt-4o,1.0,0.3627938706702984,0.05825242718446602
17096624,gemini,gpt-4o,1.0,0.2692062627387111,0.03738317757009346
17096624,llama,gpt-4o,0.9375,0.368345145884975,0.04464285714285714
17096624,gemma,gpt-4o,0.625,0.2962250932383729,0.0375
17910536,gpt4o,gpt-4o,0.9,0.242047662232557,0.05063291139240506
17910536,claude,gpt-4o,0.8,0.2400076887146175,0.038314176245210725
17910536,gemini,gpt-4o,0.875,0.3158215511088905,0.0591715976331361
17910536,llama,gpt-4o,1.0,0.2645353957791978,0.050793650793650794
17910536,gemma,gpt-4o,1.0,0.2896486319348979,0.05581395348837209
27338535,gpt4o,gpt-4o,1.0,0.6760512847240763,0.12820512820512822
27338535,claude,gpt-4o,1.0,0.5466602074403364,0.12422360248447203
27338535,gemini,gpt-4o,1.0,0.447927884953924,0.1388888888888889
27338535,llama,gpt-4o,0.875,0.4352742113901226,0.1282798833819242
27338535,gemma,gpt-4o,0.875,0.4281102061438413,0.12727272727272726
24098953,gpt4o,gpt-4o,1.0,0.4185868571036836,0.104
24098953,claude,gpt-4o,1.0,0.6583277326268347,0.12230215827338131
24098953,gemini,gpt-4o,1.0,0.4311642078583894,0.07669616519174041
24098953,llama,gpt-4o,1.0,0.5653101036184682,0.07123287671232877
24098953,gemma,gpt-4o,1.0,0.5668040310000253,0.12571428571428572
17192736,gpt4o,gpt-4o,0.8571428571428571,0.5409269256587314,0.13197969543147206
17192736,claude,gpt-4o,0.9090909090909092,0.7115650849085504,0.06711409395973154
17192736,gemini,gpt-4o,0.625,0.6340470164574203,0.10612244897959185
17192736,llama,gpt-4o,1.0,0.5367881694083287,0.13178294573643412
17192736,gemma,gpt-4o,0.8333333333333334,0.7160985594791688,0.14364640883977903
21084567,gpt4o,gpt-4o,1.0,0.6490388823692762,0.15189873417721522
21084567,claude,gpt-4o,0.8571428571428571,0.7036623206286958,0.11920529801324505
21084567,gemini,gpt-4o,1.0,0.5881039976419797,0.12056737588652482
21084567,llama,gpt-4o,0.9166666666666666,0.6410412886544077,0.10401891252955082
21084567,gemma,gpt-4o,1.0,0.6526602342625494,0.14655172413793102
20594006,gpt4o,gpt-4o,1.0,0.8626124177228304,0.12454212454212452
20594006,claude,gpt-4o,1.0,0.898098326017158,0.11331444759206799
20594006,gemini,gpt-4o,1.0,0.9162380032613214,0.1374570446735395
20594006,llama,gpt-4o,1.0,0.7478225594565954,0.14334470989761092
20594006,gemma,gpt-4o,1.0,0.7480310100316957,0.1278538812785388
22972546,gpt4o,gpt-4o,0.75,0.5045622342740135,0.12851405622489961
22972546,claude,gpt-4o,0.8461538461538461,0.742655777356984,0.09722222222222222
22972546,gemini,gpt-4o,0.7142857142857143,0.8142901289154583,0.08469055374592835
22972546,llama,gpt-4o,0.8181818181818182,0.7031867011931999,0.11661807580174927
22972546,gemma,gpt-4o,0.6,0.6345816429950231,0.12556053811659193
23348330,gpt4o,gpt-4o,1.0,0.668337091745171,0.10358565737051792
23348330,claude,gpt-4o,1.0,0.4006633063121541,0.08058608058608056
23348330,gemini,gpt-4o,1.0,0.4673153082289409,0.13402061855670103
23348330,llama,gpt-4o,1.0,0.6666513859475203,0.09523809523809523
23348330,gemma,gpt-4o,0.875,0.6157617726361722,0.13580246913580246
25669733,gpt4o,gpt-4o,0.8571428571428571,0.350021154139715,0.08823529411764706
25669733,claude,gpt-4o,1.0,0.3389904024821412,0.08208955223880596
25669733,gemini,gpt-4o,1.0,0.3576691886782309,0.15037593984962408
25669733,llama,gpt-4o,0.8888888888888888,0.3330575910739061,0.07326007326007326
25669733,gemma,gpt-4o,0.8,0.5502006220464419,0.13953488372093023
15841770,gpt4o,gpt-4o,1.0,0.809193435056704,0.07560137457044673
15841770,claude,gpt-4o,1.0,0.7680046878444601,0.06918238993710692
15841770,gemini,gpt-4o,1.0,0.8513972601410666,0.09056603773584905
15841770,llama,gpt-4o,0.9166666666666666,0.8191637168901575,0.08860759493670886
15841770,gemma,gpt-4o,1.0,0.7711137309056458,0.09090909090909091
12836106,gpt4o,gpt-4o,1.0,0.5816890698090139,0.1626794258373206
12836106,claude,gpt-4o,1.0,0.7531395207396949,0.1003584229390681
12836106,gemini,gpt-4o,0.875,0.6338070364905134,0.17435897435897435
12836106,llama,gpt-4o,0.9,0.6081483240618302,0.11564625850340134
12836106,gemma,gpt-4o,1.0,0.6013553372239164,0.14864864864864863
9582182,gpt4o,gpt-4o,1.0,0.5169181591725015,0.09900990099009901
9582182,claude,gpt-4o,1.0,0.3741733733201471,0.08888888888888888
9582182,gemini,gpt-4o,1.0,0.4422600039075085,0.08530805687203791
9582182,llama,gpt-4o,1.0,0.3625650653753972,0.08029197080291971
9582182,gemma,gpt-4o,0.8888888888888888,0.2979581500092782,0.09478672985781991
17502203,gpt4o,gpt-4o,1.0,0.8022474620096357,0.10441767068273092
17502203,claude,gpt-4o,1.0,0.71860019733975,0.07361963190184048
17502203,gemini,gpt-4o,1.0,0.8162109825845778,0.10033444816053512
17502203,llama,gpt-4o,0.9411764705882352,0.6998547239528732,0.09729729729729729
17502203,gemma,gpt-4o,0.7777777777777778,0.770601970671309,0.12745098039215688
17276182,gpt4o,gpt-4o,1.0,0.8472755058389991,0.1307901907356948
17276182,claude,gpt-4o,1.0,0.87311886447296,0.11678832116788321
17276182,gemini,gpt-4o,1.0,0.8935146658806584,0.12556053811659193
17276182,llama,gpt-4o,1.0,0.5315469037409529,0.10199556541019957
17276182,gemma,gpt-4o,1.0,0.6594890433127839,0.13513513513513514
18783922,gpt4o,gpt-4o,1.0,0.3319203973270346,0.04664723032069971
18783922,claude,gpt-4o,1.0,0.2666024477787128,0.045685279187817264
18783922,gemini,gpt-4o,1.0,0.3475767341776975,0.05202312138728324
18783922,llama,gpt-4o,0.9,0.2978521591210928,0.06153846153846155
18783922,gemma,gpt-4o,0.9,0.2043375349501645,0.05357142857142857
23389866,gpt4o,gpt-4o,1.0,0.2693830661206374,0.07339449541284403
23389866,claude,gpt-4o,0.875,0.4263444006136312,0.09248554913294797
23389866,gemini,gpt-4o,0.9444444444444444,0.4595449071051359,0.06818181818181819
23389866,llama,gpt-4o,0.75,0.309005267772597,0.07162534435261708
23389866,gemma,gpt-4o,0.7692307692307693,0.3112984031029961,0.07761194029850747
19409117,gpt4o,gpt-4o,0.875,0.4704197347070981,0.08727272727272727
19409117,claude,gpt-4o,1.0,0.4178365659594674,0.06825938566552901
19409117,gemini,gpt-4o,1.0,0.6198175342523948,0.08208955223880597
19409117,llama,gpt-4o,0.8888888888888888,0.5606962472619513,0.11162790697674418
19409117,gemma,gpt-4o,0.8571428571428571,0.4417325966230138,0.10055865921787709
27040842,gpt4o,gpt-4o,1.0,0.7945867548500932,0.13333333333333333
27040842,claude,gpt-4o,1.0,0.8418202528100938,0.08058608058608059
27040842,gemini,gpt-4o,1.0,0.8709590431902375,0.147239263803681
27040842,llama,gpt-4o,1.0,0.7172807352002806,0.11811023622047244
27040842,gemma,gpt-4o,0.8333333333333334,0.3833177641945148,0.11398963730569948
22955530,gpt4o,gpt-4o,1.0,0.7326430882074669,0.1513157894736842
22955530,claude,gpt-4o,0.9090909090909092,0.6659869374817766,0.125
22955530,gemini,gpt-4o,0.6666666666666666,0.6313312384795732,0.1673003802281369
22955530,llama,gpt-4o,0.8888888888888888,0.6118162392550794,0.15976331360946747
22955530,gemma,gpt-4o,1.0,0.6608629999361828,0.16788321167883213
25957366,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.7142857142857143,0.5,0.10614525139664804
25957366,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.6875,0.6,0.10396039603960396
25957366,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9285714285714286,0.5,0.11602209944751382
25957366,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.8,0.6,0.1375
25957366,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.13284132841328414
11838307,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.05263157894736842
11838307,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,1.0,0.0901639344262295
11838307,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.875,0.5,0.08791208791208792
11838307,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9333333333333333,0.5,0.06896551724137931
11838307,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.7142857142857143,0.6,0.11764705882352942
22513023,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.12432432432432433
22513023,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.13293051359516614
22513023,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.13372093023255813
22513023,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.15757575757575756
22513023,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.8888888888888888,0.4,0.16597510373443983
14713788,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.09374999999999999
14713788,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.10847457627118644
14713788,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.10606060606060606
14713788,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.09923664122137404
14713788,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.17297297297297298
10158597,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.0830188679245283
10158597,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.0723684210526316
10158597,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.875,0.6,0.12631578947368421
10158597,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9090909090909091,0.6,0.0898876404494382
10158597,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.13043478260869565
25588461,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.7,0.0975609756097561
25588461,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.8,0.07017543859649122
25588461,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.1,0.07627118644067796
25588461,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.07482993197278912
25588461,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9,0.3,0.08737864077669902
27581329,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.11971830985915492
27581329,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.9,0.07339449541284404
27581329,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.09523809523809523
27581329,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.09359605911330049
27581329,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.1094890510948905
21889895,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9230769230769231,0.5,0.10714285714285714
21889895,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.1005586592178771
21889895,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.13821138211382114
21889895,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.11396011396011398
