pmid,student_model,judge_model,faithfulness_score,correctness_score
25957366,gpt4o,gpt-4o,1.0,0.4863002252979399
25957366,claude,gpt-4o,0.9333333333333333,0.5032989732243025
25957366,gemini,gpt-4o,0.8,0.680949960885634
25957366,llama,gpt-4o,0.75,0.48620293169741746
25957366,gemma,gpt-4o,1.0,0.7442016288299123
11838307,gpt4o,gpt-4o,1.0,0.6033097096599784
11838307,claude,gpt-4o,0.8888888888888888,0.8298025925341529
11838307,gemini,gpt-4o,0.8,0.5720589962992754
11838307,llama,gpt-4o,0.875,0.4937184019568778
11838307,gemma,gpt-4o,0.8571428571428571,0.6025595009927834
22513023,gpt4o,gpt-4o,1.0,0.449225517879597
22513023,claude,gpt-4o,0.7777777777777778,0.6166606100971215
22513023,gemini,gpt-4o,1.0,0.6143691743824469
22513023,llama,gpt-4o,0.7777777777777778,0.6265334616047173
22513023,gemma,gpt-4o,1.0,0.5813994421517876
14713788,gpt4o,gpt-4o,1.0,0.6085204874125772
14713788,claude,gpt-4o,1.0,0.5285911485828045
14713788,gemini,gpt-4o,1.0,0.6588680283675263
14713788,llama,gpt-4o,1.0,0.6362284864958877
14713788,gemma,gpt-4o,1.0,0.6269775094900079
10158597,gpt4o,gpt-4o,1.0,0.33614160350862066
10158597,claude,gpt-4o,1.0,0.40406162228502784
10158597,gemini,gpt-4o,0.875,0.5233482918586795
10158597,llama,gpt-4o,1.0,0.48961335830074715
10158597,gemma,gpt-4o,0.8888888888888888,0.5618633604426455
25588461,gpt4o,gpt-4o,1.0,0.5562761911461298
25588461,claude,gpt-4o,1.0,0.7843365846439743
25588461,gemini,gpt-4o,1.0,0.304849887003442
25588461,llama,gpt-4o,0.7777777777777778,0.5721007312335216
25588461,gemma,gpt-4o,0.8888888888888888,0.5813218028474498
27581329,gpt4o,gpt-4o,1.0,0.3806816079136883
27581329,claude,gpt-4o,0.7857142857142857,0.8244098381821109
27581329,gemini,gpt-4o,1.0,0.3277414500491622
27581329,llama,gpt-4o,1.0,0.4237551027357099
27581329,gemma,gpt-4o,0.8181818181818182,0.4375605983836068
21889895,gpt4o,gpt-4o,1.0,0.45698707510664105
21889895,claude,gpt-4o,1.0,0.585654254520473
21889895,gemini,gpt-4o,1.0,0.31087532885020447
21889895,llama,gpt-4o,0.7142857142857143,0.3313304023726088
21889895,gemma,gpt-4o,0.9,0.37714453613019366
23587089,gpt4o,gpt-4o,1.0,0.7492874014499938
23587089,claude,gpt-4o,1.0,0.6633420482923666
23587089,gemini,gpt-4o,1.0,0.7652170416235531
23587089,llama,gpt-4o,0.9230769230769231,0.7850975675655869
23587089,gemma,gpt-4o,0.8888888888888888,0.6232738329172388
8375607,gpt4o,gpt-4o,1.0,0.7459595014007201
8375607,claude,gpt-4o,1.0,0.7899018380025279
8375607,gemini,gpt-4o,1.0,0.7400726376979236
8375607,llama,gpt-4o,1.0,0.7563120120817455
8375607,gemma,gpt-4o,1.0,0.731695959101731
25228241,gpt4o,gpt-4o,1.0,0.7531847890386854
25228241,claude,gpt-4o,1.0,0.6297708629482672
25228241,gemini,gpt-4o,1.0,0.6968656593725342
25228241,llama,gpt-4o,1.0,0.6662829656697205
25228241,gemma,gpt-4o,0.8333333333333334,0.6751191767257583
15050326,gpt4o,gpt-4o,0.9,0.5632735777915567
15050326,claude,gpt-4o,0.9166666666666666,0.7239849843912735
15050326,gemini,gpt-4o,0.9,0.6995744772650683
15050326,llama,gpt-4o,0.8181818181818182,0.5610557466728698
15050326,gemma,gpt-4o,1.0,0.5873190399396424
25417760,gpt4o,gpt-4o,1.0,0.6176505847611335
25417760,claude,gpt-4o,1.0,0.7613914514918503
25417760,gemini,gpt-4o,1.0,0.7098522746402944
25417760,llama,gpt-4o,0.875,0.510622285536811
25417760,gemma,gpt-4o,0.375,0.3905057452538847
18251357,gpt4o,gpt-4o,1.0,0.49397763621842
18251357,claude,gpt-4o,1.0,0.5139521326782321
18251357,gemini,gpt-4o,1.0,0.667489689635625
18251357,llama,gpt-4o,0.875,0.6390194166540274
18251357,gemma,gpt-4o,1.0,0.5225003824163151
17032327,gpt4o,gpt-4o,1.0,0.8802009636299999
17032327,claude,gpt-4o,0.9,0.8017464456285504
17032327,gemini,gpt-4o,1.0,0.7910539777136261
17032327,llama,gpt-4o,1.0,0.8244762627797642
17032327,gemma,gpt-4o,1.0,0.8215666213783216
17483607,gpt4o,gpt-4o,0.875,0.5849695700796189
17483607,claude,gpt-4o,1.0,0.4803255189131141
17483607,gemini,gpt-4o,0.8571428571428571,0.38955466291002916
17483607,llama,gpt-4o,0.8181818181818182,0.533524979703816
17483607,gemma,gpt-4o,0.8,0.5321345261794673
22154448,gpt4o,gpt-4o,1.0,0.8069981179996242
22154448,claude,gpt-4o,1.0,0.7774594299289301
22154448,gemini,gpt-4o,1.0,0.7893694317200107
22154448,llama,gpt-4o,0.9166666666666666,0.7085170084766517
22154448,gemma,gpt-4o,0.8888888888888888,0.7522087465818839
19268855,gpt4o,gpt-4o,0.9166666666666666,0.34011696765824256
19268855,claude,gpt-4o,0.8571428571428571,0.7695746469482907
19268855,gemini,gpt-4o,0.9166666666666666,0.7237094501778177
19268855,llama,gpt-4o,1.0,0.2919635718682442
19268855,gemma,gpt-4o,0.8333333333333334,0.6838074065150892
25186850,gpt4o,gpt-4o,0.8571428571428571,0.38964518741300574
25186850,claude,gpt-4o,0.9333333333333333,0.6339891488092007
25186850,gemini,gpt-4o,0.875,0.4277012915835619
25186850,llama,gpt-4o,0.9090909090909091,0.4550976883074542
25186850,gemma,gpt-4o,0.875,0.4371554414388231
24237112,gpt4o,gpt-4o,0.8571428571428571,0.7951294210901265
24237112,claude,gpt-4o,0.8666666666666667,0.8166183558816235
24237112,gemini,gpt-4o,1.0,0.7570914441292077
24237112,llama,gpt-4o,1.0,0.7598642553922951
24237112,gemma,gpt-4o,1.0,0.8242531473721341
9044116,gpt4o,gpt-4o,0.9,0.6787805996222592
9044116,claude,gpt-4o,1.0,0.7650714353245007
9044116,gemini,gpt-4o,1.0,0.7072370164436659
9044116,llama,gpt-4o,1.0,0.5927738090728285
9044116,gemma,gpt-4o,0.8,0.6818562257670582
18496363,gpt4o,gpt-4o,1.0,0.6712030439078506
18496363,claude,gpt-4o,1.0,0.8943056595881602
18496363,gemini,gpt-4o,1.0,0.8815917523285002
18496363,llama,gpt-4o,1.0,0.27720004619518906
18496363,gemma,gpt-4o,1.0,0.5441851449614746
18603989,gpt4o,gpt-4o,1.0,0.4248589311118365
18603989,claude,gpt-4o,0.8571428571428571,0.4601263701717772
18603989,gemini,gpt-4o,1.0,0.5769823094536489
18603989,llama,gpt-4o,1.0,0.4040276588088473
18603989,gemma,gpt-4o,1.0,0.35659827535089583
10411439,gpt4o,gpt-4o,1.0,0.8239495481296935
10411439,claude,gpt-4o,1.0,0.8820049831024048
10411439,gemini,gpt-4o,1.0,0.8839624731297595
10411439,llama,gpt-4o,1.0,0.8154689083813798
10411439,gemma,gpt-4o,1.0,0.43586350940452323
18534072,gpt4o,gpt-4o,1.0,0.7275914724999849
18534072,claude,gpt-4o,0.8181818181818182,0.7358851621145419
18534072,gemini,gpt-4o,1.0,0.6858744652743153
18534072,llama,gpt-4o,1.0,0.8065688563712279
18534072,gemma,gpt-4o,1.0,0.7247814806276119
9427037,gpt4o,gpt-4o,0.8888888888888888,0.3517326594251057
9427037,claude,gpt-4o,0.9166666666666666,0.447684520489379
9427037,gemini,gpt-4o,1.0,0.349200832859747
9427037,llama,gpt-4o,1.0,0.35571388976634594
9427037,gemma,gpt-4o,0.8571428571428571,0.4758744975496918
21342862,gpt4o,gpt-4o,1.0,0.5260808094682529
21342862,claude,gpt-4o,1.0,0.5400984340932183
21342862,gemini,gpt-4o,1.0,0.6981139656493915
21342862,llama,gpt-4o,1.0,0.7733798781563748
21342862,gemma,gpt-4o,1.0,0.3525203758942308
27096199,gpt4o,gpt-4o,1.0,0.9019288273390051
27096199,claude,gpt-4o,1.0,0.8705785015459956
27096199,gemini,gpt-4o,0.875,0.8847029654583498
27096199,llama,gpt-4o,1.0,0.6596752395073111
27096199,gemma,gpt-4o,0.7777777777777778,0.876065064725144
19923859,gpt4o,gpt-4o,0.9,0.4225818849760592
19923859,claude,gpt-4o,1.0,0.6311017008151814
19923859,gemini,gpt-4o,0.8571428571428571,0.796832010104464
19923859,llama,gpt-4o,0.9090909090909091,0.4546034387940893
19923859,gemma,gpt-4o,0.7777777777777778,0.71757123026406
20842006,gpt4o,gpt-4o,1.0,0.8564525850405987
20842006,claude,gpt-4o,1.0,0.8791978336658657
20842006,gemini,gpt-4o,1.0,0.8816404972595235
20842006,llama,gpt-4o,1.0,0.8225846160281552
20842006,gemma,gpt-4o,1.0,0.8775331721448486
17096624,gpt4o,gpt-4o,0.8181818181818182,0.25411541905446
17096624,claude,gpt-4o,1.0,0.36279387067029845
17096624,gemini,gpt-4o,1.0,0.2692062627387111
17096624,llama,gpt-4o,0.9375,0.368345145884975
17096624,gemma,gpt-4o,0.625,0.2962250932383729
17910536,gpt4o,gpt-4o,0.9,0.24204766223255708
17910536,claude,gpt-4o,0.8,0.24000768871461758
17910536,gemini,gpt-4o,0.875,0.31582155110889054
17910536,llama,gpt-4o,1.0,0.2645353957791978
17910536,gemma,gpt-4o,1.0,0.2896486319348979
27338535,gpt4o,gpt-4o,1.0,0.6760512847240763
27338535,claude,gpt-4o,1.0,0.5466602074403364
27338535,gemini,gpt-4o,1.0,0.447927884953924
27338535,llama,gpt-4o,0.875,0.4352742113901226
27338535,gemma,gpt-4o,0.875,0.4281102061438413
24098953,gpt4o,gpt-4o,1.0,0.41858685710368365
24098953,claude,gpt-4o,1.0,0.6583277326268347
24098953,gemini,gpt-4o,1.0,0.4311642078583894
24098953,llama,gpt-4o,1.0,0.5653101036184682
24098953,gemma,gpt-4o,1.0,0.5668040310000253
17192736,gpt4o,gpt-4o,0.8571428571428571,0.5409269256587314
17192736,claude,gpt-4o,0.9090909090909091,0.7115650849085504
17192736,gemini,gpt-4o,0.625,0.6340470164574203
17192736,llama,gpt-4o,1.0,0.5367881694083287
17192736,gemma,gpt-4o,0.8333333333333334,0.7160985594791688
21084567,gpt4o,gpt-4o,1.0,0.6490388823692762
21084567,claude,gpt-4o,0.8571428571428571,0.7036623206286958
21084567,gemini,gpt-4o,1.0,0.5881039976419797
21084567,llama,gpt-4o,0.9166666666666666,0.6410412886544077
21084567,gemma,gpt-4o,1.0,0.6526602342625494
20594006,gpt4o,gpt-4o,1.0,0.8626124177228304
20594006,claude,gpt-4o,1.0,0.898098326017158
20594006,gemini,gpt-4o,1.0,0.9162380032613214
20594006,llama,gpt-4o,1.0,0.7478225594565954
20594006,gemma,gpt-4o,1.0,0.7480310100316957
22972546,gpt4o,gpt-4o,0.75,0.5045622342740135
22972546,claude,gpt-4o,0.8461538461538461,0.742655777356984
22972546,gemini,gpt-4o,0.7142857142857143,0.8142901289154583
22972546,llama,gpt-4o,0.8181818181818182,0.7031867011931999
22972546,gemma,gpt-4o,0.6,0.6345816429950231
23348330,gpt4o,gpt-4o,1.0,0.668337091745171
23348330,claude,gpt-4o,1.0,0.4006633063121541
23348330,gemini,gpt-4o,1.0,0.4673153082289409
23348330,llama,gpt-4o,1.0,0.6666513859475203
23348330,gemma,gpt-4o,0.875,0.6157617726361722
25669733,gpt4o,gpt-4o,0.8571428571428571,0.350021154139715
25669733,claude,gpt-4o,1.0,0.3389904024821412
25669733,gemini,gpt-4o,1.0,0.35766918867823094
25669733,llama,gpt-4o,0.8888888888888888,0.3330575910739061
25669733,gemma,gpt-4o,0.8,0.5502006220464419
15841770,gpt4o,gpt-4o,1.0,0.809193435056704
15841770,claude,gpt-4o,1.0,0.7680046878444601
15841770,gemini,gpt-4o,1.0,0.8513972601410666
15841770,llama,gpt-4o,0.9166666666666666,0.8191637168901575
15841770,gemma,gpt-4o,1.0,0.7711137309056458
12836106,gpt4o,gpt-4o,1.0,0.5816890698090139
12836106,claude,gpt-4o,1.0,0.7531395207396949
12836106,gemini,gpt-4o,0.875,0.6338070364905134
12836106,llama,gpt-4o,0.9,0.6081483240618302
12836106,gemma,gpt-4o,1.0,0.6013553372239164
9582182,gpt4o,gpt-4o,1.0,0.5169181591725015
9582182,claude,gpt-4o,1.0,0.37417337332014716
9582182,gemini,gpt-4o,1.0,0.4422600039075085
9582182,llama,gpt-4o,1.0,0.36256506537539723
9582182,gemma,gpt-4o,0.8888888888888888,0.2979581500092782
17502203,gpt4o,gpt-4o,1.0,0.8022474620096357
17502203,claude,gpt-4o,1.0,0.71860019733975
17502203,gemini,gpt-4o,1.0,0.8162109825845778
17502203,llama,gpt-4o,0.9411764705882353,0.6998547239528732
17502203,gemma,gpt-4o,0.7777777777777778,0.770601970671309
17276182,gpt4o,gpt-4o,1.0,0.8472755058389991
17276182,claude,gpt-4o,1.0,0.87311886447296
17276182,gemini,gpt-4o,1.0,0.8935146658806584
17276182,llama,gpt-4o,1.0,0.5315469037409529
17276182,gemma,gpt-4o,1.0,0.6594890433127839
18783922,gpt4o,gpt-4o,1.0,0.33192039732703466
18783922,claude,gpt-4o,1.0,0.2666024477787128
18783922,gemini,gpt-4o,1.0,0.3475767341776975
18783922,llama,gpt-4o,0.9,0.2978521591210928
18783922,gemma,gpt-4o,0.9,0.20433753495016455
23389866,gpt4o,gpt-4o,1.0,0.26938306612063745
23389866,claude,gpt-4o,0.875,0.42634440061363127
23389866,gemini,gpt-4o,0.9444444444444444,0.45954490710513596
23389866,llama,gpt-4o,0.75,0.30900526777259707
23389866,gemma,gpt-4o,0.7692307692307693,0.31129840310299617
19409117,gpt4o,gpt-4o,0.875,0.47041973470709814
19409117,claude,gpt-4o,1.0,0.41783656595946744
19409117,gemini,gpt-4o,1.0,0.6198175342523948
19409117,llama,gpt-4o,0.8888888888888888,0.5606962472619513
19409117,gemma,gpt-4o,0.8571428571428571,0.4417325966230138
27040842,gpt4o,gpt-4o,1.0,0.7945867548500932
27040842,claude,gpt-4o,1.0,0.8418202528100938
27040842,gemini,gpt-4o,1.0,0.8709590431902375
27040842,llama,gpt-4o,1.0,0.7172807352002806
27040842,gemma,gpt-4o,0.8333333333333334,0.38331776419451485
22955530,gpt4o,gpt-4o,1.0,0.7326430882074669
22955530,claude,gpt-4o,0.9090909090909091,0.6659869374817766
22955530,gemini,gpt-4o,0.6666666666666666,0.6313312384795732
22955530,llama,gpt-4o,0.8888888888888888,0.6118162392550794
22955530,gemma,gpt-4o,1.0,0.6608629999361828
27448572,gpt4o,gpt-4o,1.0,0.3725298126198807
27448572,claude,gpt-4o,1.0,0.44528606814828847
27448572,gemini,gpt-4o,1.0,0.3758418745954136
27448572,llama,gpt-4o,1.0,0.475551110891388
27448572,gemma,gpt-4o,1.0,0.38856000295540916
19299238,gpt4o,gpt-4o,1.0,0.8718594392570855
19299238,claude,gpt-4o,1.0,0.8300043875122578
19299238,gemini,gpt-4o,1.0,0.8265093173562995
19299238,llama,gpt-4o,0.8461538461538461,0.8426697129867453
19299238,gemma,gpt-4o,1.0,0.8256194194867555
18239988,gpt4o,gpt-4o,0.7777777777777778,0.2483841604293929
18239988,claude,gpt-4o,1.0,0.25798650511606874
18239988,gemini,gpt-4o,0.7142857142857143,0.23590828009334358
18239988,llama,gpt-4o,1.0,0.31646923297882806
18239988,gemma,gpt-4o,0.8888888888888888,0.2919284426576034
10808977,gpt4o,gpt-4o,0.8888888888888888,0.7617398868198034
10808977,claude,gpt-4o,1.0,0.7318841189117763
10808977,gemini,gpt-4o,1.0,0.6457656154065237
10808977,llama,gpt-4o,1.0,0.6702836336434462
10808977,gemma,gpt-4o,1.0,0.5773828449549654
22497340,gpt4o,gpt-4o,1.0,0.7460086969032766
22497340,claude,gpt-4o,1.0,0.7948090848267365
22497340,gemini,gpt-4o,1.0,0.7708025095613722
22497340,llama,gpt-4o,1.0,0.697607605280817
22497340,gemma,gpt-4o,0.7142857142857143,0.6542267082861928
15588538,gpt4o,gpt-4o,1.0,0.8542863283172506
15588538,claude,gpt-4o,1.0,0.8363157226924395
15588538,gemini,gpt-4o,1.0,0.595505842242602
15588538,llama,gpt-4o,1.0,0.8228856465088059
15588538,gemma,gpt-4o,0.9285714285714286,0.8230714267348826
21420186,gpt4o,gpt-4o,0.8181818181818182,0.4260040651923255
21420186,claude,gpt-4o,0.7692307692307693,0.7166880346769668
21420186,gemini,gpt-4o,0.7272727272727273,0.328285073479596
21420186,llama,gpt-4o,0.8888888888888888,0.47456262988667824
21420186,gemma,gpt-4o,1.0,0.7309352745609587
20353735,gpt4o,gpt-4o,1.0,0.7840685498910114
20353735,claude,gpt-4o,1.0,0.7617639391470585
20353735,gemini,gpt-4o,1.0,0.7849620572534207
20353735,llama,gpt-4o,0.9,0.7298192199303054
20353735,gemma,gpt-4o,0.875,0.7673703165139298
23222920,gpt4o,gpt-4o,1.0,0.5254335942677436
23222920,claude,gpt-4o,1.0,0.5055109249806888
23222920,gemini,gpt-4o,1.0,0.5837050063031552
23222920,llama,gpt-4o,1.0,0.4281044626601038
23222920,gemma,gpt-4o,0.9090909090909091,0.6857758844765189
17113061,gpt4o,gpt-4o,1.0,0.6008914229214474
17113061,claude,gpt-4o,1.0,0.7063192068072676
17113061,gemini,gpt-4o,1.0,0.7858744168591383
17113061,llama,gpt-4o,1.0,0.7023346389908464
25957366,gpt4o,claude-sonnet-4-6,1.0,0.5
25957366,claude,claude-sonnet-4-6,0.8125,0.6
25957366,gemini,claude-sonnet-4-6,1.0,0.5
25957366,llama,claude-sonnet-4-6,0.8,0.6
25957366,gemma,claude-sonnet-4-6,0.9090909090909091,0.6
11838307,gpt4o,claude-sonnet-4-6,1.0,0.3
11838307,claude,claude-sonnet-4-6,1.0,0.9
11838307,gemini,claude-sonnet-4-6,0.875,0.5
11838307,llama,claude-sonnet-4-6,0.9333333333333333,0.6
11838307,gemma,claude-sonnet-4-6,0.7142857142857143,0.5
22513023,gpt4o,claude-sonnet-4-6,1.0,0.2
22513023,claude,claude-sonnet-4-6,1.0,0.4
22513023,gemini,claude-sonnet-4-6,1.0,0.5
22513023,llama,claude-sonnet-4-6,0.8888888888888888,0.4
22513023,gemma,claude-sonnet-4-6,1.0,0.4
14713788,gpt4o,claude-sonnet-4-6,1.0,0.5
14713788,claude,claude-sonnet-4-6,1.0,0.2
14713788,gemini,claude-sonnet-4-6,1.0,0.4
14713788,llama,claude-sonnet-4-6,1.0,0.4
14713788,gemma,claude-sonnet-4-6,1.0,0.1
10158597,gpt4o,claude-sonnet-4-6,1.0,0.4
10158597,claude,claude-sonnet-4-6,1.0,0.5
10158597,gemini,claude-sonnet-4-6,0.8571428571428571,0.6
10158597,llama,claude-sonnet-4-6,1.0,0.5
10158597,gemma,claude-sonnet-4-6,1.0,0.5
25588461,gpt4o,claude-sonnet-4-6,1.0,0.7
25588461,claude,claude-sonnet-4-6,1.0,0.8
25588461,gemini,claude-sonnet-4-6,1.0,0.1
25588461,llama,claude-sonnet-4-6,1.0,0.4
25588461,gemma,claude-sonnet-4-6,0.9,0.4
27581329,gpt4o,claude-sonnet-4-6,1.0,0.2
27581329,claude,claude-sonnet-4-6,1.0,0.9
27581329,gemini,claude-sonnet-4-6,1.0,0.2
27581329,llama,claude-sonnet-4-6,1.0,0.5
27581329,gemma,claude-sonnet-4-6,0.9230769230769231,0.2
21889895,gpt4o,claude-sonnet-4-6,1.0,0.4
21889895,claude,claude-sonnet-4-6,1.0,0.7
21889895,gemini,claude-sonnet-4-6,1.0,0.3
21889895,llama,claude-sonnet-4-6,1.0,0.3
21889895,gemma,claude-sonnet-4-6,0.8,0.2
23587089,gpt4o,claude-sonnet-4-6,0.9,0.5
23587089,claude,claude-sonnet-4-6,1.0,0.6
23587089,gemini,claude-sonnet-4-6,1.0,0.7
23587089,llama,claude-sonnet-4-6,1.0,0.4
23587089,gemma,claude-sonnet-4-6,0.8888888888888888,0.3
8375607,gpt4o,claude-sonnet-4-6,1.0,0.8
8375607,claude,claude-sonnet-4-6,1.0,0.7
8375607,gemini,claude-sonnet-4-6,1.0,0.7
8375607,llama,claude-sonnet-4-6,0.9166666666666666,0.7
8375607,gemma,claude-sonnet-4-6,0.9,0.6
25228241,gpt4o,claude-sonnet-4-6,1.0,0.6
25228241,claude,claude-sonnet-4-6,1.0,0.8
25228241,gemini,claude-sonnet-4-6,1.0,0.7
25228241,llama,claude-sonnet-4-6,1.0,0.6
25228241,gemma,claude-sonnet-4-6,0.9090909090909091,0.5
15050326,gpt4o,claude-sonnet-4-6,0.9090909090909091,0.6
15050326,claude,claude-sonnet-4-6,1.0,0.7
15050326,gemini,claude-sonnet-4-6,1.0,0.6
15050326,llama,claude-sonnet-4-6,1.0,0.4
15050326,gemma,claude-sonnet-4-6,1.0,0.5
25417760,gpt4o,claude-sonnet-4-6,0.8571428571428571,0.7
25417760,claude,claude-sonnet-4-6,1.0,0.8
25417760,gemini,claude-sonnet-4-6,0.9285714285714286,0.7
25417760,llama,claude-sonnet-4-6,0.75,0.5
25417760,gemma,claude-sonnet-4-6,0.5,0.2
18251357,gpt4o,claude-sonnet-4-6,1.0,0.2
18251357,claude,claude-sonnet-4-6,1.0,0.2
18251357,gemini,claude-sonnet-4-6,1.0,0.3
18251357,llama,claude-sonnet-4-6,1.0,0.2
18251357,gemma,claude-sonnet-4-6,1.0,0.3
17032327,gpt4o,claude-sonnet-4-6,1.0,0.9
17032327,claude,claude-sonnet-4-6,0.9411764705882353,0.9
17032327,gemini,claude-sonnet-4-6,1.0,0.9
17032327,llama,claude-sonnet-4-6,1.0,0.9
17032327,gemma,claude-sonnet-4-6,0.9,0.9
17483607,gpt4o,claude-sonnet-4-6,0.9166666666666666,0.7
17483607,claude,claude-sonnet-4-6,1.0,0.7
17483607,gemini,claude-sonnet-4-6,1.0,0.3
17483607,llama,claude-sonnet-4-6,0.9285714285714286,0.7
17483607,gemma,claude-sonnet-4-6,0.9,0.4
22154448,gpt4o,claude-sonnet-4-6,1.0,0.7
22154448,claude,claude-sonnet-4-6,1.0,0.7
22154448,gemini,claude-sonnet-4-6,1.0,0.7
22154448,llama,claude-sonnet-4-6,1.0,0.5
22154448,gemma,claude-sonnet-4-6,1.0,0.6
19268855,gpt4o,claude-sonnet-4-6,0.9166666666666666,0.3
19268855,claude,claude-sonnet-4-6,1.0,0.9
19268855,gemini,claude-sonnet-4-6,1.0,0.9
19268855,llama,claude-sonnet-4-6,0.9166666666666666,0.2
19268855,gemma,claude-sonnet-4-6,0.9090909090909091,0.5
25186850,gpt4o,claude-sonnet-4-6,1.0,0.4
25186850,claude,claude-sonnet-4-6,1.0,0.4
25186850,gemini,claude-sonnet-4-6,1.0,0.3
25186850,llama,claude-sonnet-4-6,1.0,0.4
25186850,gemma,claude-sonnet-4-6,0.5833333333333334,0.3
24237112,gpt4o,claude-sonnet-4-6,1.0,0.6
24237112,claude,claude-sonnet-4-6,1.0,0.9
24237112,gemini,claude-sonnet-4-6,1.0,0.6
24237112,llama,claude-sonnet-4-6,1.0,0.5
24237112,gemma,claude-sonnet-4-6,1.0,0.5
9044116,gpt4o,claude-sonnet-4-6,1.0,0.5
9044116,claude,claude-sonnet-4-6,0.75,0.9
9044116,gemini,claude-sonnet-4-6,1.0,0.5
9044116,llama,claude-sonnet-4-6,1.0,0.4
9044116,gemma,claude-sonnet-4-6,1.0,0.3
18496363,gpt4o,claude-sonnet-4-6,1.0,0.3
18496363,claude,claude-sonnet-4-6,1.0,0.9
18496363,gemini,claude-sonnet-4-6,1.0,0.8
18496363,llama,claude-sonnet-4-6,1.0,0.1
18496363,gemma,claude-sonnet-4-6,1.0,0.3
18603989,gpt4o,claude-sonnet-4-6,0.9230769230769231,0.7
18603989,claude,claude-sonnet-4-6,1.0,0.6
18603989,gemini,claude-sonnet-4-6,1.0,0.5
18603989,llama,claude-sonnet-4-6,1.0,0.5
18603989,gemma,claude-sonnet-4-6,1.0,0.4
10411439,gpt4o,claude-sonnet-4-6,1.0,0.8
10411439,claude,claude-sonnet-4-6,1.0,0.9
10411439,gemini,claude-sonnet-4-6,1.0,0.9
10411439,llama,claude-sonnet-4-6,1.0,0.3
10411439,gemma,claude-sonnet-4-6,0.9,0.2
18534072,gpt4o,claude-sonnet-4-6,0.875,0.6
18534072,claude,claude-sonnet-4-6,0.8461538461538461,0.7
18534072,gemini,claude-sonnet-4-6,1.0,0.6
18534072,llama,claude-sonnet-4-6,1.0,0.6
18534072,gemma,claude-sonnet-4-6,1.0,0.6
9427037,gpt4o,claude-sonnet-4-6,1.0,0.5
9427037,claude,claude-sonnet-4-6,1.0,0.9
9427037,gemini,claude-sonnet-4-6,1.0,0.7
9427037,llama,claude-sonnet-4-6,1.0,0.7
9427037,gemma,claude-sonnet-4-6,1.0,0.6
21342862,gpt4o,claude-sonnet-4-6,1.0,0.8
21342862,claude,claude-sonnet-4-6,1.0,0.9
21342862,gemini,claude-sonnet-4-6,1.0,0.9
21342862,llama,claude-sonnet-4-6,1.0,0.7
21342862,gemma,claude-sonnet-4-6,1.0,0.6
27096199,gpt4o,claude-sonnet-4-6,1.0,0.9
27096199,claude,claude-sonnet-4-6,1.0,1.0
27096199,gemini,claude-sonnet-4-6,1.0,0.9
27096199,llama,claude-sonnet-4-6,0.9,0.7
27096199,gemma,claude-sonnet-4-6,1.0,0.9
19923859,gpt4o,claude-sonnet-4-6,0.9230769230769231,0.1
25957366,gpt4o,gemini-2.5-pro,0.9,1.0
25957366,claude,gemini-2.5-pro,1.0,1.0
25957366,gemini,gemini-2.5-pro,1.0,1.0
25957366,llama,gemini-2.5-pro,0.8333333333333334,1.0
25957366,gemma,gemini-2.5-pro,1.0,1.0
11838307,gpt4o,gemini-2.5-pro,1.0,0.3
11838307,claude,gemini-2.5-pro,1.0,1.0
11838307,gemini,gemini-2.5-pro,1.0,1.0
11838307,llama,gemini-2.5-pro,0.8888888888888888,1.0
11838307,gemma,gemini-2.5-pro,1.0,0.9
22513023,gpt4o,gemini-2.5-pro,1.0,0.1
22513023,claude,gemini-2.5-pro,1.0,1.0
22513023,gemini,gemini-2.5-pro,1.0,0.8
22513023,llama,gemini-2.5-pro,1.0,0.5
22513023,gemma,gemini-2.5-pro,1.0,0.6
14713788,gpt4o,gemini-2.5-pro,1.0,0.5
14713788,claude,gemini-2.5-pro,1.0,0.2
